channel,background,Co60_100cm,Co60_200cm,Co57_53cm,Co57_30cm,Cs137_100cm,Cs137_200cm
21,1.0033333333333334,4.4222222222222225,1.7,8.446666666666667,22.063333333333333,10.661111111111111,4.116666666666666
22,1.01,4.427777777777778,2.311111111111111,9.246666666666666,24.28,11.677777777777777,4.138888888888889
23,1.1633333333333333,5.111111111111111,2.411111111111111,10.446666666666667,26.58,12.494444444444444,4.8277777777777775
24,1.3266666666666667,5.383333333333334,2.661111111111111,11.376666666666667,28.266666666666666,14.561111111111112,5.3277777777777775
25,1.4133333333333333,6.288888888888889,2.8777777777777778,12.07,31.73,15.822222222222223,5.7444444444444445
26,1.5533333333333332,6.705555555555556,3.2944444444444443,12.91,34.04333333333334,17.072222222222223,6.194444444444445
27,1.7233333333333334,7.194444444444445,3.5722222222222224,13.566666666666666,35.84,18.32777777777778,7.0
28,1.7733333333333334,7.75,3.6944444444444446,14.4,36.60333333333333,20.033333333333335,7.1
29,1.75,8.572222222222223,4.211111111111111,15.03,38.193333333333335,21.766666666666666,7.877777777777778
30,2.0733333333333333,9.066666666666666,4.3,15.64,40.26,22.91111111111111,8.1
31,2.0766666666666667,9.516666666666667,4.705555555555556,15.64,42.49,24.627777777777776,8.994444444444444
32,2.3266666666666667,10.244444444444444,4.733333333333333,16.43,43.663333333333334,26.566666666666666,9.666666666666666
33,2.4233333333333333,10.688888888888888,5.138888888888889,17.34,43.64333333333333,27.533333333333335,9.633333333333333
34,2.3933333333333335,11.366666666666667,5.155555555555556,17.216666666666665,44.126666666666665,28.85,10.161111111111111
35,2.62,12.3,5.572222222222222,17.2,45.06,29.022222222222222,10.588888888888889
36,2.69,12.544444444444444,5.8,17.64,44.656666666666666,30.6,10.7
37,2.8466666666666667,12.966666666666667,5.683333333333334,17.413333333333334,44.41,31.772222222222222,11.4
38,2.89,13.816666666666666,6.277777777777778,17.71,43.763333333333335,32.26111111111111,12.127777777777778
39,2.8066666666666666,14.05,6.872222222222222,17.31,43.92333333333333,32.611111111111114,12.072222222222223
40,2.97,14.483333333333333,6.905555555555556,17.153333333333332,42.093333333333334,34.06666666666667,12.455555555555556
41,3.24,14.744444444444444,6.783333333333333,16.27,41.37,35.266666666666666,12.28888888888889
42,3.12,15.738888888888889,6.905555555555556,15.9,40.93,35.21111111111111,12.733333333333333
43,3.31,16.3,7.444444444444445,15.623333333333333,38.18,35.93888888888889,13.705555555555556
44,3.3233333333333333,16.761111111111113,7.738888888888889,14.87,36.946666666666665,36.43333333333333,13.383333333333333
45,3.4966666666666666,16.694444444444443,7.733333333333333,14.046666666666667,35.236666666666665,36.66111111111111,13.383333333333333
46,3.26,17.083333333333332,7.988888888888889,13.793333333333333,33.42666666666667,36.422222222222224,13.572222222222223
47,3.55,17.61111111111111,7.85,13.13,31.23,36.87222222222222,13.438888888888888
48,3.4833333333333334,18.183333333333334,8.011111111111111,12.663333333333334,29.866666666666667,35.82222222222222,13.5
49,3.79,18.383333333333333,8.45,11.85,26.613333333333333,35.888888888888886,13.844444444444445
50,3.466666666666667,19.094444444444445,8.466666666666667,11.733333333333333,26.473333333333333,34.27777777777778,13.505555555555556
51,3.6033333333333335,19.461111111111112,8.5,11.116666666666667,23.956666666666667,33.46666666666667,13.35
52,3.75,19.97222222222222,8.622222222222222,10.353333333333333,22.236666666666668,32.97222222222222,12.71111111111111
53,3.7933333333333334,19.55,8.572222222222223,9.686666666666667,20.663333333333334,32.25,12.472222222222221
54,3.62,20.2,8.977777777777778,9.18,19.096666666666668,30.616666666666667,12.844444444444445
55,3.83,20.783333333333335,8.766666666666667,8.82,17.873333333333335,30.294444444444444,12.394444444444444
56,4.056666666666667,20.855555555555554,8.988888888888889,8.103333333333333,16.41,29.238888888888887,11.955555555555556
57,4.013333333333334,21.05,9.03888888888889,8.093333333333334,14.966666666666667,28.07777777777778,12.005555555555556
58,4.043333333333333,21.844444444444445,9.194444444444445,7.5,13.86,27.883333333333333,11.46111111111111
59,3.81,21.383333333333333,9.244444444444444,7.01,12.88,25.961111111111112,11.677777777777777
60,3.95,22.194444444444443,9.255555555555556,7.28,12.1,24.77777777777778,11.011111111111111
61,3.8366666666666664,22.033333333333335,9.305555555555555,6.79,11.27,25.255555555555556,10.594444444444445
62,3.87,22.305555555555557,9.322222222222223,6.39,11.003333333333334,23.944444444444443,11.016666666666667
63,3.7333333333333334,22.822222222222223,9.3,6.35,10.52,24.238888888888887,10.566666666666666
